trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.3, 'e': 0.9199999999999999}",25,11,-84.29053443269015,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.3, 'e': 0.9149999999999999}",20,0,-31.279828012830144,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.9099999999999999}",20,0,-175.16746851374805,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.3, 'e': 0.9049999999999999}",35,0,-145.10182365220444,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.8999999999999999}",20,0,-135.56444195622677,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.3, 'e': 0.8949999999999999}",20,0,-99.91436856021858,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.8899999999999999}",20,0,-65.0503888893949,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.8849999999999999}",20,0,-37.15289379862774,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.8799999999999999}",20,0,-151.67195201195563,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
25,False,"{'a': 0.3, 'e': 0.8749999999999999}",20,0,-95.01684197579281,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.8699999999999999}",20,0,-60.21217642953111,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.8649999999999999}",30,6,-30.578367872328446,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.3, 'e': 0.8599999999999999}",20,0,-119.6725808199915,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",1
29,False,"{'a': 0.3, 'e': 0.8549999999999999}",30,0,-186.68750591899206,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.8499999999999999}",25,0,-54.906865741510586,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.3, 'e': 0.8449999999999999}",30,0,-205.64461270060767,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
32,False,"{'a': 0.3, 'e': 0.8399999999999999}",20,0,-39.12808393122101,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.3, 'e': 0.8349999999999999}",20,0,-38.556255188874474,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.3, 'e': 0.8299999999999998}",25,0,-142.89475510372307,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.3, 'e': 0.8249999999999998}",30,0,-116.74813999796363,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.3, 'e': 0.8199999999999998}",25,0,-39.16293665585918,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.3, 'e': 0.8149999999999998}",25,0,-57.92177261704257,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.8099999999999998}",20,0,-85.72417200137116,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.3, 'e': 0.8049999999999998}",30,0,-167.22695524475904,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
